"year.x","fyear.x","county","age16 license","age17 license","age18 license","under18 license","youth_total license","total_md_drivers.x","share16.x","share17.x","share18.x","est_16_or_17_or_18_yo_2023.x","est_reg_rate_18_yo_as_of_202312.x","est_prereg_rate_16_17_yo_as_of_202312.x","est_med_hh_income_2022_dollars.x","share_bipoc.x","share_white.x","share_bachelors_degree_plus.x","share_language_other_than_english.x","year.y","fyear.y","age16","age17","age18","under18","youth_total","total_md_drivers.y","sixteenlicensepercent","seventeenlicensepercent","sixandseventeenlicensepercent","eighteenlicensepercent"
2021,2022,"allegany",26,248,386,274,660,45756,3.670588235,17.50588235,54.49411765,708.3333333,0.666352941,0.355058824,55248,0.132817887,0.867182113,0.208268982,0.032671305,2021,2022,26,248,386,274,660,45756,3.67058823546685,35.01176470753,19.3411764714984,54.4941176496233
2021,2022,"anne_arundel",229,3027,4455,3256,7711,437343,3.132266448,20.7016824,60.93557653,7311,0.707700725,0.420667487,116009,0.353817065,0.646182935,0.441293527,0.125605525,2021,2022,229,3027,4455,3256,7711,437343,3.13226644781836,41.403364792778,22.2678156202982,60.9355765285187
2021,2022,"baltimore",205,3200,5315,3405,8720,605001,1.93578848,15.10859301,50.18885741,10590,0.603399433,0.300236072,88157,0.459401672,0.540598328,0.411625631,0.148965199,2021,2022,205,3200,5315,3405,8720,605001,1.93578847969783,30.2171860245515,16.0764872521246,50.1888574126534
2021,2022,"baltimore_city",34,614,1304,648,1952,301754,0.554468363,5.006523157,21.2654925,6132,0.471135029,0.191617743,58349,0.729856231,0.270143769,0.34901675,0.103307742,2021,2022,34,614,1304,648,1952,301754,0.554468362687541,10.0130463144162,5.28375733855186,21.2654924983692
2021,2022,"calvert",51,685,958,736,1694,67021,3.658536585,24.56958393,68.723099,1394,0.62553802,0.339670014,128078,0.244326713,0.755673287,0.355756046,0.048789584,2021,2022,51,685,958,736,1694,67021,3.65853658536585,49.1391678622669,26.3988522238164,68.7230989956958
2021,2022,"caroline",19,202,307,221,528,30274,4.074338813,21.65832738,65.83273767,466.3333333,0.568263045,0.354896355,65326,0.267376951,0.732623049,0.177081053,0.083402569,2021,2022,19,202,307,221,528,30274,4.0743388137294,43.3166547564915,23.6954967851105,65.8327376744698
2021,2022,"carroll",113,1229,1731,1342,3073,135685,4.757227056,25.87005333,72.8739826,2375.333333,0.693797362,0.380578164,111672,0.13218069,0.86781931,0.387544688,0.058948435,2021,2022,113,1229,1731,1342,3073,135685,4.7572270565194,51.7401066589588,28.2486668577391,72.87398260916
2021,2022,"cecil",39,560,799,599,1398,74449,2.787705504,20.01429593,57.11222302,1399,0.684060043,0.382416011,86869,0.174698679,0.825301321,0.26752351,0.065746662,2021,2022,39,560,799,599,1398,74449,2.78770550393138,40.0285918513224,21.4081486776269,57.1122230164403
2021,2022,"charles",41,676,1189,717,1906,123317,1.666215118,13.73611487,48.32023842,2460.666667,0.614874018,0.316377675,116882,0.647295477,0.352704523,0.310594692,0.098272104,2021,2022,41,676,1189,717,1906,123317,1.66621511762853,27.4722297443142,14.5692224309714,48.3202384112273
2021,2022,"dorchester",12,133,207,145,352,22786,2.614379085,14.48801743,45.09803922,459,0.509803922,0.245098039,57490,0.3865221,0.6134779,0.191537703,0.058983931,2021,2022,12,133,207,145,352,22786,2.61437908496732,28.9760348583878,15.7952069716776,45.0980392156863
