year,fyear,county,age16,age17,age18,under18,youth_total,total_md_drivers,share16,share17,share18,est_16_or_17_or_18_yo_2023,est_reg_rate_18_yo_as_of_202312,est_prereg_rate_16_17_yo_as_of_202312,est_med_hh_income_2022_dollars,share_bipoc,share_white,share_bachelors_degree_plus,share_language_other_than_english
2021,2022,allegany,26,248,386,274,660,45756,,,,,,,,,,,
2021,2022,anne_arundel,229,3027,4455,3256,7711,437343,,,,,,,,,,,
2021,2022,baltimore,205,3200,5315,3405,8720,605001,,,,,,,,,,,
2021,2022,baltimore_city,34,614,1304,648,1952,301754,,,,,,,,,,,
2021,2022,calvert,51,685,958,736,1694,67021,,,,,,,,,,,
2021,2022,caroline,19,202,307,221,528,30274,,,,,,,,,,,
2021,2022,carroll,113,1229,1731,1342,3073,135685,,,,,,,,,,,
2021,2022,cecil,39,560,799,599,1398,74449,,,,,,,,,,,
2021,2022,charles,41,676,1189,717,1906,123317,,,,,,,,,,,
2021,2022,dorchester,12,133,207,145,352,22786,,,,,,,,,,,
2021,2022,frederick,153,1749,2463,1902,4365,214215,,,,,,,,,,,
2021,2022,garrett,14,158,240,172,412,22275,,,,,,,,,,,
2021,2022,harford,144,1518,2258,1662,3920,200017,,,,,,,,,,,
2021,2022,howard,137,1937,3186,2074,5260,255604,,,,,,,,,,,
2021,2022,kent,14,77,116,91,207,14484,,,,,,,,,,,
2021,2022,montgomery,294,4655,7991,4949,12940,803303,,,,,,,,,,,
2021,2022,prince_georges,61,1634,3675,1695,5370,638734,,,,,,,,,,,
2021,2022,queen_annes,33,398,520,431,951,41005,,,,,,,,,,,
2021,2022,somerset,6,58,106,64,170,14360,,,,,,,,,,,
2021,2022,st_marys,48,731,983,779,1762,81648,,,,,,,,,,,
2021,2022,talbot,19,221,305,240,545,30455,,,,,,,,,,,
2021,2022,washington,72,732,1119,804,1923,110147,,,,,,,,,,,
2021,2022,wicomico,30,457,678,487,1165,69126,,,,,,,,,,,
2021,2022,worcester,29,326,377,355,732,44313,,,,,,,,,,,
2022,2023,allegany,,223,351,,,45069,,,,,,,,,,,
2022,2023,anne_arundel,3,2396,4236,2399,6635,431564,,,,,,,,,,,
2022,2023,baltimore,,2481,4826,,,595048,,,,,,,,,,,
2022,2023,baltimore_city,,485,1083,,,296543,,,,,,,,,,,
2022,2023,calvert,,547,896,,,66725,,,,,,,,,,,
2022,2023,caroline,1,187,272,188,460,29504,,,,,,,,,,,
2022,2023,carroll,,1036,1559,,,134632,,,,,,,,,,,
2022,2023,cecil,,466,754,,,73700,,,,,,,,,,,
2022,2023,charles,,502,1108,,,122451,,,,,,,,,,,
2022,2023,dorchester,,124,166,,,22701,,,,,,,,,,,
2022,2023,frederick,,1473,2448,,,214733,,,,,,,,,,,
2022,2023,garrett,,125,210,,,21931,,,,,,,,,,,
2022,2023,harford,2,1241,2051,1243,3294,197909,,,,,,,,,,,
2022,2023,howard,,1564,2906,,,252798,,,,,,,,,,,
2022,2023,kent,,67,94,,,14298,,,,,,,,,,,
2022,2023,montgomery,,3812,7215,,,788382,,,,,,,,,,,
2022,2023,prince_georges,,1114,3366,,,625530,,,,,,,,,,,
2022,2023,queen_annes,,322,490,,,40912,,,,,,,,,,,
2022,2023,somerset,,66,86,,,14101,,,,,,,,,,,
2022,2023,st_marys,,597,1010,,,80890,,,,,,,,,,,
2022,2023,talbot,,180,283,,,30074,,,,,,,,,,,
2022,2023,washington,,632,1044,,,109315,,,,,,,,,,,
2022,2023,wicomico,,352,589,,,68460,,,,,,,,,,,
2022,2023,worcester,,259,385,,,43875,,,,,,,,,,,
2023,2024,allegany,,204,381,,,44710,,14.4,53.7882352941177,708.333333333333,0.66635294117647,0.355058823529411,55248,0.132817887061516,0.867182112938483,0.20826898192595,0.032671305469794
2023,2024,anne_arundel,,2457,4361,,,432033,,16.8034468608945,59.6498427027766,7311,0.707700724935029,0.420667487347832,116009,0.353817064523753,0.646182935476246,0.441293527473279,0.125605525065753
2023,2024,baltimore,,2599,4873,,,593776,,12.2710103871577,46.0151085930123,10590,0.603399433427762,0.300236071765816,88157,0.459401671726984,0.540598328273015,0.411625631136461,0.148965199009783
2023,2024,baltimore_city,,496,1200,,,296038,,4.044357469015,19.5694716242661,6132,0.471135029354207,0.191617742987606,58349,0.729856230797128,0.270143769202871,0.349016749508191,0.10330774161592
2023,2024,calvert,,584,924,,,67308,,20.9469153515065,66.2840746054519,1394,0.625538020086083,0.339670014347202,128078,0.244326712710737,0.755673287289262,0.355756045873846,0.048789584322235
2023,2024,caroline,,179,295,,,28685,,19.192280200143,63.2594710507506,466.333333333333,0.568263045032165,0.354896354538956,65326,0.267376950780312,0.732623049219687,0.177081052677672,0.0834025691825909
2023,2024,carroll,,1033,1593,,,134416,,21.7443165871457,67.0642716811677,2375.33333333333,0.693797361773786,0.380578164468144,111672,0.132180689854235,0.867819310145764,0.387544687663301,0.0589484346112307
2023,2024,cecil,,491,796,,,73801,,17.5482487491065,56.8977841315225,1399,0.684060042887777,0.38241601143674,86869,0.174698679194424,0.825301320805575,0.267523510103458,0.0657466621788399
2023,2024,charles,,504,1111,,,123688,,10.2411270658358,45.1503657545382,2460.66666666666,0.614874017881333,0.316377675426713,116882,0.647295476995839,0.35270452300416,0.310594691554261,0.0982721039152511
2023,2024,dorchester,,113,191,,,22821,,12.3093681917211,41.6122004357298,459,0.509803921568627,0.245098039215686,57490,0.386522099702061,0.613477900297939,0.191537703090838,0.0589839311800032
2023,2024,frederick,,1452,2507,,,217505,,19.318786588611,66.7110164981373,3758,0.744012772751463,0.424960085151676,115724,0.304949439248582,0.695050560751417,0.436250809815228,0.154683901584175
2023,2024,garrett,,160,199,,,21890,,23.121387283237,57.514450867052,346,0.647398843930635,0.390173410404624,64447,0.043630440809537,0.956369559190463,0.246222014925373,0.0306308275058275
2023,2024,harford,,1310,2154,,,198193,,18.454169797145,60.687453042825,3549.33333333333,0.708020285499624,0.414444027047332,106417,0.263610907879061,0.736389092120938,0.387722931073309,0.0754949391810306
2023,2024,howard,,1590,3056,,,253253,,16.1061588330632,61.9124797406807,4936,0.693273905996758,0.371150729335494,140971,0.516413612801985,0.483586387198014,0.640116134531377,0.265229475188982
2023,2024,kent,,67,107,,,14282,,16.421568627451,52.4509803921569,204,0.529411764705882,0.345588235294117,71635,0.231530924361034,0.768469075638965,0.373549219085828,0.054254803810754
2023,2024,montgomery,,3956,7562,,,786147,,13.8641620522885,53.003434499194,14267,0.70463306932081,0.377619681783135,125583,0.585944877047241,0.414055122952758,0.60028334123437,0.419013061387818
2023,2024,prince_georges,,1101,3467,,,624768,,4.85821027240103,30.5965758663294,11331.3333333333,0.552273930693651,0.239865858680943,97935,0.884254833684883,0.115745166315116,0.35634094937085,0.288907794269811
2023,2024,queen_annes,,361,483,,,41367,,26.7804154302671,71.6617210682493,674,0.670623145400593,0.451038575667655,108332,0.15849829080213,0.841501709197869,0.365718405146121,0.0538081893847505
2023,2024,somerset,,49,107,,,13832,,10.7456140350877,46.9298245614035,228,0.543859649122807,0.348684210526315,52149,0.481801232166018,0.518198767833981,0.168474416411223,0.0547666482980797
2023,2024,st_marys,,659,965,,,81110,,20.6367432150314,60.4384133611694,1596.66666666666,0.577453027139874,0.302192066805845,113668,0.282399353330873,0.717600646669126,0.34917716282063,0.0698436169316724
2023,2024,talbot,,202,276,,,30034,,24.9588138385503,68.2042833607909,404.666666666666,0.738879736408566,0.417627677100494,81667,0.236040676526033,0.763959323473966,0.414526779163609,0.0867263505086061
2023,2024,washington,,633,1083,,,109987,,15.6838453914767,53.6669970267592,2018,0.608523290386521,0.329038652130822,73017,0.237356526237511,0.762643473762488,0.229765929538694,0.0819932499503672
2023,2024,wicomico,,356,590,,,68780,,13.5498604415124,44.9124587668107,1313.66666666666,0.592996701344836,0.329231159604161,69421,0.392611857631363,0.607388142368636,0.289481292128847,0.113844956158321
2023,2024,worcester,,296,397,,,44119,,25.8139534883721,69.2441860465117,573.333333333333,0.765697674418604,0.45610465116279,76689,0.210309122229163,0.789690877770836,0.320880321923592,0.0656875308033514
